"2013-12-31", 1.20 
"2014-01-02", 1.20 
"2014-01-03", 1.20 
"2014-01-06", 1.20 
"2014-01-07", 1.20 
"2014-01-08", 1.20 
"2014-01-09", 1.20 
"2014-01-10", 1.20 
"2014-01-13", 1.20 
"2014-01-14", 1.20 
"2014-01-15", 1.20 
"2014-01-16", 1.20 
"2014-01-17", 1.20 
"2014-01-21", 1.20 
"2014-01-22", 1.20 
"2014-01-23", 1.20 
"2014-01-24", 1.20 
"2014-01-27", 1.20 
"2014-01-28", 1.20 
"2014-01-29", 1.20 
"2014-01-30", 1.20 
"2014-01-31", 1.20 
"2014-02-03", 1.20 
"2014-02-04", 1.20 
"2014-02-05", 1.20 
"2014-02-06", 1.20 
"2014-02-07", 1.20 
"2014-02-10", 1.20 
"2014-02-11", 1.20 
"2014-02-12", 1.20 
"2014-02-13", 1.20 
"2014-02-14", 1.20 
"2014-02-18", 1.20 
"2014-02-19", 1.20 
"2014-02-20", 1.20 
"2014-02-21", 1.20 
"2014-02-24", 1.20 
"2014-02-25", 1.20 
"2014-02-26", 1.20 
"2014-02-27", 1.20 
"2014-02-28", 1.20 
"2014-03-03", 1.20 
"2014-03-04", 1.20 
"2014-03-05", 1.20 
"2014-03-06", 1.22 
"2014-03-07", 1.22 
"2014-03-10", 1.22 
"2014-03-11", 1.22 
"2014-03-12", 1.22 
"2014-03-13", 1.22 
"2014-03-14", 1.22 
"2014-03-17", 1.22 
"2014-03-18", 1.22 
"2014-03-19", 1.22 
"2014-03-20", 1.22 
"2014-03-21", 1.22 
"2014-03-24", 1.22 
"2014-03-25", 1.22 
"2014-03-26", 1.22 
"2014-03-27", 1.22 
"2014-03-28", 1.22 
"2014-03-31", 1.22 
"2014-04-01", 1.22 
"2014-04-02", 1.22 
"2014-04-03", 1.22 
"2014-04-04", 1.22 
"2014-04-07", 1.22 
"2014-04-08", 1.22 
"2014-04-09", 1.22 
"2014-04-10", 1.22 
"2014-04-11", 1.22 
"2014-04-14", 1.22 
"2014-04-15", 1.22 
"2014-04-16", 1.22 
"2014-04-17", 1.22 
"2014-04-21", 1.22 
"2014-04-22", 1.22 
"2014-04-23", 1.22 
"2014-04-24", 1.22 
"2014-04-25", 1.22 
"2014-04-28", 1.22 
"2014-04-29", 1.22 
"2014-04-30", 1.22 
"2014-05-01", 1.22 
"2014-05-02", 1.22 
"2014-05-05", 1.22 
"2014-05-06", 1.22 
"2014-05-07", 1.22 
"2014-05-08", 1.22 
"2014-05-09", 1.22 
"2014-05-12", 1.22 
"2014-05-13", 1.22 
"2014-05-14", 1.22 
"2014-05-15", 1.22 
"2014-05-16", 1.22 
"2014-05-19", 1.22 
"2014-05-20", 1.22 
"2014-05-21", 1.22 
"2014-05-22", 1.22 
"2014-05-23", 1.22 
"2014-05-27", 1.22 
"2014-05-28", 1.22 
"2014-05-29", 1.22 
"2014-05-30", 1.22 
"2014-06-02", 1.22 
"2014-06-03", 1.21 
"2014-06-04", 1.21 
"2014-06-05", 1.21 
"2014-06-06", 1.21 
"2014-06-09", 1.21 
"2014-06-10", 1.21 
"2014-06-11", 1.21 
"2014-06-12", 1.21 
"2014-06-13", 1.21 
"2014-06-16", 1.21 
"2014-06-17", 1.21 
"2014-06-18", 1.21 
"2014-06-19", 1.21 
"2014-06-20", 1.21 
"2014-06-23", 1.21 
"2014-06-24", 1.21 
"2014-06-25", 1.21 
"2014-06-26", 1.21 
"2014-06-27", 1.21 
"2014-06-30", 1.21 
"2014-07-01", 1.21 
"2014-07-02", 1.21 
"2014-07-03", 1.21 
"2014-07-07", 1.21 
"2014-07-08", 1.21 
"2014-07-09", 1.21 
"2014-07-10", 1.21 
"2014-07-11", 1.21 
"2014-07-14", 1.21 
"2014-07-15", 1.21 
"2014-07-16", 1.21 
"2014-07-17", 1.21 
"2014-07-18", 1.21 
"2014-07-21", 1.21 
"2014-07-22", 1.21 
"2014-07-23", 1.21 
"2014-07-24", 1.21 
"2014-07-25", 1.21 
"2014-07-28", 1.21 
"2014-07-29", 1.21 
"2014-07-30", 1.21 
"2014-07-31", 1.21 
"2014-08-01", 1.21 
"2014-08-04", 1.21 
"2014-08-05", 1.21 
"2014-08-06", 1.21 
"2014-08-07", 1.21 
"2014-08-08", 1.21 
"2014-08-11", 1.21 
"2014-08-12", 1.21 
"2014-08-13", 1.21 
"2014-08-14", 1.21 
"2014-08-15", 1.21 
"2014-08-18", 1.21 
"2014-08-19", 1.21 
"2014-08-20", 1.21 
"2014-08-21", 1.21 
"2014-08-22", 1.21 
"2014-08-25", 1.21 
"2014-08-26", 1.21 
"2014-08-27", 1.21 
"2014-08-28", 1.21 
"2014-08-29", 1.21 
"2014-09-02", 1.20 
"2014-09-03", 1.20 
"2014-09-04", 1.20 
"2014-09-05", 1.20 
"2014-09-08", 1.20 
"2014-09-09", 1.20 
"2014-09-10", 1.20 
"2014-09-11", 1.20 
"2014-09-12", 1.20 
"2014-09-15", 1.20 
"2014-09-16", 1.20 
"2014-09-17", 1.20 
"2014-09-18", 1.20 
"2014-09-19", 1.20 
"2014-09-22", 1.20 
"2014-09-23", 1.20 
"2014-09-24", 1.20 
"2014-09-25", 1.20 
"2014-09-26", 1.20 
"2014-09-29", 1.20 
"2014-09-30", 1.20 
"2014-10-01", 1.20 
"2014-10-02", 1.20 
"2014-10-03", 1.20 
"2014-10-06", 1.20 
"2014-10-07", 1.20 
"2014-10-08", 1.20 
"2014-10-09", 1.20 
"2014-10-10", 1.20 
"2014-10-13", 1.20 
"2014-10-14", 1.20 
"2014-10-15", 1.20 
"2014-10-16", 1.20 
"2014-10-17", 1.20 
"2014-10-20", 1.20 
"2014-10-21", 1.20 
"2014-10-22", 1.20 
"2014-10-23", 1.20 
"2014-10-24", 1.20 
